id,label,statement,subject,speaker,job_title,state_info,party,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,split,label_clean
5106.json,half-true,My recommended budget includes $1 billion in new state funding for education.,"education,state-budget",rick-scott,Governor,Florida,republican,28,23,38,34,7,his State of the State address,train,half-true
179.json,true,"When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.",health-care,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,Las Vegas,train,true
4455.json,false,"Says CNNs Wolf Blitzer was wrong to say that the wealthiest Americans, they pay the most in taxes already -- 50 percent of Americans dont even pay any federal income tax.",taxes,debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7,9,8,15,3,an interview before the CNN/Tea Party Express presidential debate,train,false
3693.json,true,"Rep. Paul Ryans budget proposal cuts nothing from Medicare, Social Security or defense in the next two to three years, and in three years, he does not cut one dime from the debt.","deficit,federal-budget,medicare,military,social-security,abc-news-week",david-stockman,,Connecticut,republican,0,0,0,0,0,an interview on 'This Week with Christiane Amanpour',train,true
10926.json,mostly-true,U.S. Embassy Celebrates Americas Independence on June 4th in Order to Accommodate Muslims.,"foreign-policy,religion",blog-posting,,,none,7,19,3,5,44,social media posts,train,mostly-true
2837.json,false,Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.,"economy,federal-budget,government-efficiency",john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a news conference,train,false
12174.json,false,Supreme Court nominee Merrick Garland voted to uphold D.C.s ban on handguns.,"guns,supreme-court",john-whitbeck,Republican Party of Virginia chairman,Virginia,republican,0,1,0,0,0,an email,train,false
8852.json,mostly-true,David Dewhurst is the first lieutenant governor in history to have a personal security detail.,"candidates-biography,crime,homeland-security,public-safety,state-budget,state-finances",todd-staples,state agriculture commissioner,Texas,republican,0,1,4,3,1,"the Texas Debate hosted by KERA-TV, Channel 13, in Dallas",train,mostly-true
9380.json,pants-fire,Solar panels drain the suns energy.,"energy,environment",chain-email,,,none,11,43,8,5,105,messages on the Internet,train,pants-fire
12488.json,barely-true,Says Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.,"foreign-policy,military,supreme-court,terrorism",pat-toomey,Candidate for U.S. Senate,Pennsylvania,republican,3,2,2,1,0,,train,barely-true
