id,label,statement,subject,speaker,job_title,state_info,party,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,split,label_clean
2154.json,half-true,Tim Pawlenty has cut education funding in Minnesota. Classrooms are overcrowded. Districts have gone to four-day school weeks.,"children,education,message-machine",mark-dayton,former U.S. Senator,Minnesota,democratic-farmer-labor,0,0,1,0,0,a campaign ad,train,half-true
1143.json,true,Pregnant women trying to buy health insurance on their own are barred from maternity coverage because they have a pre-existing condition.,health-care,j-james-rohack,president of the American Medical Association,Texas,none,0,0,0,0,0,Fox News Sunday,train,true
3589.json,half-true,"When we lower tax rates, we generate more in revenues. That happened in 86 with the Reagan plan, happened in 2001, following the Bush plan.","federal-budget,taxes",saxby-chambliss,U.S. Senator,Georgia,republican,1,1,3,4,1,an interview,train,half-true
12084.json,true,"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, dragging the American flag on the ground like it was a piece of garbage.",elections,donald-trump,President-Elect,New York,republican,63,114,51,37,61,"Donald Trump on Sunday, March 13th, 2016, in an interview on ""Meet the Press""",test,true
12772.json,mostly-true,Says Donald Trump believes that states should actually have the right to lower the minimum wage below $7.25.,"jobs,poverty,workers",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,a speech at the Democratic National Convention,train,mostly-true
5345.json,half-true,"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",federal-budget,GaGOP,,,republican,2,1,1,0,0,a web post,train,half-true
8070.json,half-true,"The federal Consumer Financial Protection Bureau is collecting financial information, monitoring financial information of millions of Americans without their knowledge and storing it for up to 10 years.","bankruptcy,financial-regulation,privacy",sean-duffy,Member of the U.S. House,Wisconsin,republican,5,1,6,1,2,an interview,train,half-true
10464.json,half-true,Ronald Reagan banned ownership of fully automatic rifles. He supported the assault weaspons ban.,"guns,history",alfonso-lopez,State delegate,Virginia,democrat,0,0,1,0,1,a floor speech.,train,half-true
85.json,mostly-true,"In every single country, she had a majority of the vote -- or more of those who'd already made up their minds.",elections,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"a speech by husband Bill Clinton at a Concord, N.H. rally.",train,mostly-true
9181.json,barely-true,My state of Florida is now the third-largest state. We have surpassed New York in population.,"census,states",bill-nelson,,Florida,democrat,3,1,8,10,0,remarks at a committee hearing,train,barely-true
